ID,FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8324133,0,84,49,NA,0,NA,NA,1,0
8324134,0,325,195,NA,0,NA,NA,400,0
8324135,1,36,NA,NA,0,NA,NA,NA,0
8324136,0,335,195,NA,0,NA,NA,400,0
8324137,0,254,144,NA,0,NA,NA,400,0
8324138,1,242,91,24,0,58,1,400,0
8324139,0,161,139,99,1,102,1,400,0
8324140,0,236,10,NA,0,NA,NA,1,0
8324141,0,36,1,NA,0,NA,NA,1,0
8324142,1,NA,NA,NA,0,NA,NA,NA,0
8324143,0,364,177,31,0,101,1,1,0
8324144,0,345,81,NA,0,NA,NA,120,0
8324145,1,235,35,35,0,35,0,1,0
8324146,0,207,200,NA,1,NA,NA,1,0
8324147,1,180,82,81,1,81,0,400,0
8324148,0,285,92,54,0,54,1,400,0
8324149,1,346,83,59,0,68,0,60,0
8324150,0,203,190,42,0,44,1,1,0
8324151,0,236,NA,NA,1,NA,NA,NA,0
8324152,0,348,128,NA,0,NA,NA,30,0
8324153,0,328,63,12,0,12,1,1,0
8324154,0,260,130,122,3,122,1,1,0
8324155,1,229,148,NA,0,NA,NA,400,0
8324156,0,216,114,100,2,107,1,1,0
8324157,0,160,100,NA,0,NA,NA,1,0
8324158,0,101,101,NA,0,NA,NA,400,0
8324159,0,295,129,99,3,99,0,400,0
8324160,0,376,NA,NA,0,NA,NA,NA,0
8324161,0,258,82,NA,0,NA,NA,120,0
8324162,1,88,89,22,0,63,1,30,0
8324163,1,247,248,109,0,143,1,1,0
8324164,0,18,14,NA,0,NA,NA,120,0
8324165,1,354,190,14,5,54,4,60,0
8324166,0,294,274,NA,1,NA,NA,400,0
8324167,1,79,NA,NA,1,NA,NA,NA,0
8324168,1,14,11,NA,0,NA,NA,120,0
8324169,0,70,64,NA,0,NA,NA,400,1
8324170,0,298,31,NA,0,NA,NA,1,0
8324171,1,216,200,16,1,79,2,30,0
8324172,0,164,169,169,0,169,1,1,0
8324173,0,193,104,33,0,57,0,1,0
8324174,1,119,92,NA,0,NA,NA,1,0
8324175,1,138,103,71,0,87,1,400,0
8324176,0,304,130,25,0,67,1,1,0
8324177,0,316,152,42,1,79,2,400,0
8324178,1,22,NA,NA,0,NA,NA,NA,0
8324179,1,232,247,96,0,113,1,400,0
8324180,0,27,NA,NA,NA,NA,NA,NA,0
8324181,1,211,188,46,0,84,2,1,0
8324182,0,229,226,43,0,84,2,1,0
8324183,1,374,210,17,0,40,0,400,0
8324184,1,353,138,70,1,74,0,120,0
8324185,0,426,207,168,1,168,1,1,0
8324186,0,276,110,25,0,68,2,1,0
8324187,0,17,NA,NA,0,NA,NA,NA,0
8324188,1,212,95,NA,3,NA,NA,1,0
8324189,0,29,5,NA,0,NA,NA,60,0
8324190,0,187,188,30,1,59,1,1,0
8324191,1,283,96,76,0,76,0,1,0
8324192,0,163,74,NA,0,NA,NA,1,0
8324193,0,353,102,7,0,55,1,1,0
8324194,0,112,98,98,0,98,1,400,1
8324195,1,62,63,NA,0,NA,NA,1,0
8324196,0,267,135,84,2,84,1,400,0
8324197,0,9,9,6,0,8,2,1,0
8324198,0,257,126,81,0,104,1,1,1
8324199,0,321,220,28,2,41,2,1,0
8324200,1,80,79,NA,0,NA,NA,400,0
8324201,1,99,100,60,0,60,0,400,0
8324202,1,232,86,NA,0,NA,NA,120,0
8324203,0,115,15,15,2,15,1,1,0
8324204,1,242,51,NA,0,NA,NA,400,0
8324205,1,89,NA,NA,0,NA,NA,NA,0
8324206,0,373,182,182,0,182,1,400,0
8324207,0,112,100,NA,0,NA,NA,1,0
8324208,0,178,55,19,3,19,0,400,0
8324209,0,306,198,48,0,48,0,400,0
8324210,0,376,81,81,0,81,0,1,0
8324211,0,NA,NA,NA,0,NA,NA,NA,NA
8324212,0,163,56,NA,0,NA,NA,1,0
8324213,0,12,8,NA,0,NA,NA,1,1
8324214,0,315,10,10,0,10,1,1,0
8324215,0,169,160,NA,1,NA,NA,1,0
8324216,0,150,125,NA,0,NA,NA,400,0
8324217,0,133,134,NA,1,NA,NA,1,1
8324218,0,150,150,105,0,128,1,400,0
8324219,1,260,NA,NA,NA,NA,NA,NA,0
8324220,1,360,346,65,0,65,1,1,0
8324221,1,126,71,71,0,71,0,1,0
8324222,0,290,87,24,0,46,2,400,0
8324223,1,165,91,17,1,17,1,1,0
8324224,0,372,477,114,0,131,2,1,0
8324225,0,61,NA,NA,0,NA,NA,NA,0
8324226,0,123,116,9,1,77,4,60,0
8324227,1,NA,67,NA,0,NA,NA,1,NA
8324228,0,138,95,95,0,95,0,400,0
8324229,0,119,24,NA,0,NA,NA,1,0
8324230,0,160,161,NA,0,NA,NA,400,0
8324231,1,303,49,NA,0,NA,NA,400,0
8324232,0,256,NA,NA,0,NA,NA,NA,0
8324233,1,264,270,15,1,15,0,400,0
8324234,1,286,245,41,0,41,0,400,0
8324235,1,99,90,4,0,60,1,1,0
8324236,1,146,96,NA,0,NA,NA,400,0
8324237,0,195,128,77,0,88,3,400,0
8324238,0,105,71,24,0,48,2,1,0
8324239,0,381,95,NA,0,NA,NA,1,0
8324240,0,135,NA,NA,NA,NA,NA,NA,0
8324241,1,321,110,110,1,110,1,1,0
8324242,0,4,NA,NA,NA,NA,NA,NA,0
8324243,0,318,145,NA,0,NA,NA,1,0
8324244,0,381,43,43,0,43,1,1,0
8324245,0,321,179,176,0,176,1,1,0
8324246,0,326,NA,NA,NA,NA,NA,NA,0
8324247,0,296,157,41,1,87,0,400,0
8324248,1,367,333,30,3,76,1,60,0
8324249,1,175,NA,NA,0,NA,NA,NA,0
8324250,1,326,156,21,0,61,7,1,0
8324251,1,156,133,62,0,62,0,400,0
8324252,0,308,109,2,0,4,1,400,1
8324253,0,148,106,46,0,76,1,1,0
8324254,0,305,57,56,0,56,0,1,0
8324255,0,322,83,13,0,60,0,400,0
8324256,0,91,NA,NA,1,NA,NA,NA,0
8324257,0,245,135,NA,0,NA,NA,400,0
8324258,0,183,NA,NA,0,NA,NA,NA,1
8324259,1,378,122,77,0,77,1,400,1
8324260,0,23,NA,NA,0,NA,NA,NA,0
8324261,0,368,105,66,0,86,1,1,0
8324262,0,353,169,8,0,71,14,400,0
8324263,0,318,104,38,0,38,0,400,0
8324264,0,231,112,NA,0,NA,NA,400,0
8324265,0,240,54,27,1,37,3,1,0
8324266,0,54,57,NA,0,NA,NA,400,0
8324267,1,72,69,69,0,69,0,400,1
8324268,0,313,328,25,0,83,5,400,1
8324269,0,361,168,84,0,97,2,1,0
8324270,0,7,7,NA,0,NA,NA,1,1
8324271,1,234,130,28,0,81,1,400,0
8324272,0,248,118,107,0,107,0,400,0
8324273,1,281,169,64,1,112,1,120,0
8324274,0,327,134,27,0,86,3,400,0
8324275,0,243,113,113,0,113,0,1,0
8324276,0,326,238,30,0,114,3,1,0
8324277,0,218,167,95,0,123,2,30,0
8324278,0,108,107,34,1,74,2,90,0
8324279,0,409,304,57,0,107,3,1,0
8324280,1,260,128,59,1,76,0,400,0
8324281,0,337,279,73,0,73,0,400,0
8324282,0,99,78,NA,0,NA,NA,400,0
8324283,0,298,292,5,0,60,1,1,0
8324284,0,134,72,NA,0,NA,NA,400,1
8324285,0,159,108,NA,0,NA,NA,1,0
8324286,0,337,155,51,0,103,4,400,0
8324287,0,13,NA,NA,0,NA,NA,NA,0
8324288,0,165,136,9,0,71,3,30,0
8324289,1,167,137,24,1,76,2,400,0
8324290,0,374,267,155,0,155,1,400,0
8324291,0,69,52,NA,0,NA,NA,120,0
8324292,0,168,64,34,2,34,1,400,0
8324293,0,187,123,10,0,46,1,90,0
8324294,0,333,342,2,0,112,4,1,0
8324295,0,192,5,NA,0,NA,NA,1,0
8324296,0,41,15,NA,0,NA,NA,400,0
8324297,1,253,120,8,1,45,2,30,0
8324298,0,353,206,172,0,172,0,1,0
8324299,0,220,110,77,2,77,0,400,0
8324300,0,347,207,NA,0,NA,NA,1,0
8324301,0,41,41,28,0,28,0,400,0
8324302,1,105,103,NA,0,NA,NA,400,0
8324303,0,118,111,46,0,46,1,1,0
8324304,0,157,220,11,1,11,2,1,0
8324305,0,347,251,NA,0,NA,NA,1,0
8324306,0,52,34,NA,0,NA,NA,30,0
8324307,1,198,120,NA,0,NA,NA,400,0
8324308,0,247,245,64,0,64,1,60,0
8324309,1,244,65,NA,0,NA,NA,1,0
8324310,0,40,41,NA,0,NA,NA,1,0
8324311,0,220,180,26,0,26,1,1,0
8324312,0,164,89,31,0,31,0,60,0
8324313,1,136,76,10,1,10,0,60,0
8324314,0,353,303,NA,0,NA,NA,1,0
8324315,1,378,61,NA,0,NA,NA,400,0
8324316,0,134,119,NA,0,NA,NA,400,0
8324317,0,101,85,NA,1,NA,NA,1,0
8324318,0,269,133,32,0,86,1,60,0
8324319,0,17,5,NA,0,NA,NA,30,0
8324320,0,356,260,75,0,114,0,1,0
8324321,0,160,115,96,0,96,0,1,0
8324322,0,181,118,61,0,92,2,400,0
8324323,1,79,71,24,0,48,1,1,0
8324324,1,172,163,28,0,72,2,30,0
8324325,1,330,NA,NA,NA,NA,NA,NA,0
8324326,1,193,121,70,0,83,0,1,0
8324327,0,271,101,101,0,101,0,400,0
8324328,0,152,44,NA,0,NA,NA,1,1
8324329,0,11,12,NA,0,NA,NA,1,0
8324330,0,303,125,NA,1,NA,NA,120,0
8324331,1,174,NA,NA,0,NA,NA,NA,1
8324332,0,167,103,5,1,41,1,30,0
8324333,0,262,226,5,0,60,3,400,0
8324334,1,222,54,54,0,54,1,400,0
8324335,1,177,90,25,0,25,0,400,0
8324336,1,318,123,NA,0,NA,NA,400,0
8324337,1,128,144,NA,1,NA,NA,90,0
8324338,1,296,94,NA,0,NA,NA,1,0
8324339,0,156,146,NA,0,NA,NA,400,0
8324340,0,256,231,90,0,109,1,1,0
8324341,0,216,57,NA,1,NA,NA,400,0
8324342,0,204,93,84,0,84,0,1,0
8324343,0,91,91,91,0,91,0,400,0
8324344,1,202,78,NA,0,NA,NA,400,0
8324345,1,295,117,96,1,96,0,1,0
8324346,0,446,119,31,0,75,3,1,0
8324347,0,315,148,36,0,92,2,30,0
8324348,0,345,178,17,0,61,3,1,0
8324349,0,215,104,47,0,47,0,1,0
8324350,1,381,432,NA,0,NA,NA,400,0
8324351,1,46,NA,NA,0,NA,NA,NA,0
8324352,0,284,106,NA,0,NA,NA,60,0
8324353,0,214,213,94,5,109,1,400,0
8324354,0,222,145,12,0,25,1,120,0
8324355,0,279,90,25,1,50,0,1,0
8324356,0,218,128,NA,0,NA,NA,1,0
8324357,1,241,130,14,1,69,18,400,0
8324358,0,178,168,102,0,102,1,1,0
8324359,0,271,258,36,1,79,1,400,0
8324360,0,302,129,NA,1,NA,NA,1,0
8324361,0,380,186,34,0,67,0,30,0
8324362,1,107,44,28,1,28,1,1,0
8324363,0,85,83,NA,0,NA,NA,400,0
8324364,0,215,52,NA,0,NA,NA,1,0
8324365,0,95,93,NA,0,NA,NA,1,0
8324366,0,127,99,99,0,99,0,400,0
8324367,1,148,49,NA,0,NA,NA,1,0
8324368,0,185,16,NA,0,NA,NA,1,0
8324369,0,261,98,49,0,74,2,400,0
8324370,0,207,164,99,0,115,1,60,0
8324371,1,254,81,81,0,81,0,400,0
8324372,0,240,99,99,0,99,1,1,0
8324373,0,171,155,47,0,101,2,400,0
8324374,0,278,210,96,0,122,2,1,0
8324375,1,153,35,NA,1,NA,NA,400,0
8324376,0,295,91,59,0,65,0,400,0
8324377,0,120,NA,NA,0,NA,NA,1,1
8324378,1,80,80,NA,0,NA,NA,400,0
8324379,0,15,NA,NA,0,NA,NA,NA,0
8324380,0,383,138,NA,0,NA,NA,1,0
8324381,1,278,87,46,0,46,1,400,1
8324382,0,41,43,NA,0,NA,NA,1,0
8324383,0,223,90,NA,0,NA,NA,1,0
8324384,0,157,103,7,1,53,1,1,0
8324385,0,118,62,62,0,62,0,1,1
8324386,0,238,66,NA,1,NA,NA,1,0
8324387,0,66,67,NA,0,NA,NA,1,0
8324388,0,289,NA,NA,NA,NA,NA,NA,0
8324389,0,156,152,73,0,73,0,400,0
8324390,0,157,123,123,0,123,1,1,0
8324391,1,289,106,99,1,99,0,1,0
8324392,1,275,80,14,0,25,0,400,0
8324393,1,19,8,NA,0,NA,NA,1,1
8324394,1,281,81,5,0,43,1,400,0
8324395,0,245,240,10,2,10,0,30,0
8324396,1,48,23,NA,0,NA,NA,400,0
8324397,0,319,NA,NA,0,NA,NA,NA,0
8324398,1,30,28,NA,0,NA,NA,1,0
8324399,0,216,155,15,0,88,1,60,0
8324400,1,65,56,NA,1,NA,NA,400,0
8324401,0,273,114,30,1,30,0,400,0
8324402,1,233,82,23,1,40,0,400,0
8324403,0,143,NA,NA,0,NA,NA,NA,1
8324404,1,280,187,76,0,76,0,400,0
8324405,1,120,101,NA,0,NA,NA,400,0
8324406,1,332,122,NA,0,NA,NA,1,0
8324407,1,34,33,28,0,28,0,400,0
8324408,0,166,78,39,0,58,1,400,0
8324409,1,191,119,64,1,100,2,400,0
8324410,0,298,NA,NA,0,NA,NA,NA,0
8324411,1,142,2,NA,0,NA,NA,1,0
8324412,0,80,6,NA,0,NA,NA,1,1
8324413,1,104,NA,NA,NA,NA,NA,NA,0
8324414,1,188,176,13,0,81,3,30,1
8324415,0,239,99,42,1,78,1,400,0
8324416,1,38,32,NA,0,NA,NA,1,1
8324417,1,89,88,9,0,32,0,400,1
8324418,0,288,66,27,0,47,2,1,0
8324419,0,334,211,18,2,87,1,1,0
8324420,1,354,117,117,2,117,1,120,1
8324421,0,264,193,62,0,62,0,400,0
8324422,0,284,144,NA,0,NA,NA,120,0
8324423,0,189,107,36,0,60,1,400,0
8324424,0,256,179,9,4,57,7,400,0
8324425,0,174,289,NA,0,NA,NA,120,0
8324426,0,237,207,49,0,77,0,400,1
8324427,0,351,366,6,0,43,1,1,0
8324428,1,5,NA,NA,0,NA,NA,NA,0
8324429,1,339,305,43,0,43,0,1,0
8324430,1,182,59,NA,1,NA,NA,400,1
8324431,0,121,94,NA,0,NA,NA,1,0
8324432,1,135,115,1,0,43,6,120,0
8324433,0,157,146,NA,1,NA,NA,1,0
8324434,1,294,256,32,0,90,1,400,0
8324435,1,322,NA,NA,0,NA,NA,NA,0
8324436,0,288,88,62,0,69,0,400,0
8324437,0,339,NA,NA,NA,NA,NA,NA,0
8324438,1,139,34,NA,0,NA,NA,400,0
8324439,0,91,68,NA,0,NA,NA,400,0
8324440,0,159,134,89,0,93,0,1,0
8324441,0,317,272,94,0,94,0,400,0
8324442,0,165,150,51,1,81,0,30,0
8324443,0,69,59,45,0,45,0,400,0
8324444,1,374,62,NA,0,NA,NA,400,0
8324445,0,3,1,NA,0,NA,NA,1,0
8324446,1,292,142,NA,0,NA,NA,1,0
8324447,0,NA,76,27,1,27,1,1,0
8324448,1,84,84,NA,0,NA,NA,1,0
8324449,1,284,85,15,0,46,0,400,0
8324450,1,173,23,22,0,22,0,400,0
8324451,0,135,72,41,0,55,1,400,0
8324452,0,215,119,NA,0,NA,NA,400,0
8324453,1,170,166,NA,0,NA,NA,1,0
8324454,0,122,NA,NA,0,NA,NA,NA,0
8324455,1,75,72,49,0,49,0,400,0
8324456,1,25,18,NA,0,NA,NA,400,0
8324457,0,9,7,NA,1,NA,NA,1,0
8324458,0,383,361,NA,0,NA,NA,1,0
8324459,1,47,26,NA,0,NA,NA,400,0
8324460,1,222,120,NA,1,NA,NA,400,0
8324461,0,284,273,48,0,86,1,120,0
8324462,0,185,175,61,0,73,0,30,1
8324463,1,309,217,2,0,85,2,1,1
8324464,0,200,201,9,2,60,2,400,0
8324465,0,342,117,NA,0,NA,NA,1,0
8324466,0,378,113,NA,0,NA,NA,1,0
8324467,1,346,176,89,0,95,1,400,0
8324468,0,298,89,NA,0,NA,NA,400,0
8324469,1,151,98,NA,0,NA,NA,120,0
8324470,0,352,118,2,1,60,2,400,0
8324471,0,NA,NA,NA,0,NA,NA,NA,1
8324472,0,221,157,11,1,38,0,400,1
8324473,1,119,30,NA,0,NA,NA,400,0
8324474,0,263,256,98,0,118,2,1,0
8324475,0,351,243,104,0,131,3,1,0
8324476,0,172,152,NA,0,NA,NA,400,0
8324477,0,124,77,NA,4,NA,NA,400,1
8324478,0,206,152,30,0,30,1,400,0
8324479,0,221,63,NA,0,NA,NA,1,0
8324480,0,119,121,NA,0,NA,NA,1,0
8324481,1,350,75,4,0,24,2,1,0
8324482,0,368,205,NA,0,NA,NA,1,0
8324483,0,146,110,86,0,98,1,1,0
8324484,1,235,157,93,0,99,1,400,0
8324485,0,247,102,102,0,102,0,60,0
8324486,0,240,105,NA,0,NA,NA,1,0
8324487,0,102,102,102,1,102,0,1,0
8324488,0,12,NA,NA,0,NA,NA,NA,0
8324489,1,303,103,103,0,103,0,1,0
8324490,1,300,136,39,0,96,2,400,0
8324491,0,302,NA,NA,NA,NA,NA,NA,1
8324492,1,216,NA,NA,NA,NA,NA,NA,0
8324493,0,6,NA,NA,NA,NA,NA,NA,0
8324494,0,225,91,NA,0,NA,NA,1,0
8324495,0,372,232,64,0,64,0,1,0
8324496,0,127,101,96,0,96,0,1,0
8324497,0,24,NA,NA,1,NA,NA,1,1
8324498,0,119,115,62,0,68,1,1,0
8324499,1,128,125,28,0,52,1,1,0
8324500,0,348,NA,NA,NA,NA,NA,NA,0
8324501,0,335,129,129,0,129,1,1,0
8324502,0,19,NA,NA,0,NA,NA,NA,0
8324503,0,152,84,NA,0,NA,NA,1,0
8324504,0,162,100,100,0,100,0,1,0
8324505,0,164,162,87,0,95,2,400,0
8324506,0,303,280,NA,0,NA,NA,1,0
8324507,0,281,88,88,0,88,1,1,0
8324508,0,85,NA,NA,0,NA,NA,NA,0
8324509,0,96,NA,NA,NA,NA,NA,NA,0
8324510,0,128,118,8,4,64,2,120,0
8324511,1,269,199,63,0,93,1,120,0
8324512,0,210,4,NA,0,NA,NA,1,0
8324513,0,206,253,NA,0,NA,NA,1,0
8324514,0,315,128,NA,0,NA,NA,400,0
8324515,0,157,152,54,0,54,0,1,0
8324516,0,204,221,NA,0,NA,NA,120,0
8324517,1,349,107,NA,0,NA,NA,1,0
8324518,0,349,510,71,0,79,1,1,0
8324519,0,248,NA,NA,NA,NA,NA,NA,0
8324520,1,NA,NA,NA,NA,NA,NA,NA,NA
8324521,0,170,137,NA,0,NA,NA,1,0
8324522,0,208,NA,NA,NA,NA,NA,NA,0
8324523,1,360,268,27,1,37,2,1,0
8324524,0,209,77,NA,0,NA,NA,400,0
8324525,0,106,48,3,1,26,2,1,0
8324526,0,239,170,110,1,140,1,30,0
8324527,1,275,152,13,1,35,0,400,0
8324528,0,212,27,NA,0,NA,NA,1,0
8324529,1,279,105,30,0,61,0,400,0
8324530,1,284,112,56,0,68,0,60,0
8324531,0,304,294,64,0,98,1,1,1
8324532,1,157,137,NA,0,NA,NA,400,0
8324533,1,214,10,NA,1,NA,NA,1,0
8324534,0,356,194,80,0,80,0,400,0
8324535,0,145,104,96,0,100,2,1,0
8324536,1,239,104,NA,0,NA,NA,1,0
8324537,1,99,NA,NA,0,NA,NA,NA,0
8324538,1,107,45,NA,0,NA,NA,400,0
8324539,1,322,NA,NA,NA,NA,NA,NA,0
8324540,0,NA,NA,NA,NA,NA,NA,NA,0
8324541,0,260,245,88,0,96,1,400,0
8324542,0,184,52,NA,0,NA,NA,60,0
8324543,0,314,53,NA,3,NA,NA,400,0
8324544,1,142,NA,NA,NA,NA,NA,NA,0
8324545,0,132,126,126,0,126,1,1,0
8324546,0,277,123,44,2,44,1,1,0
8324547,0,124,107,NA,0,NA,NA,1,0
8324548,1,244,100,30,0,52,0,1,0
8324549,1,25,NA,NA,0,NA,NA,NA,0
8324550,1,238,171,NA,0,NA,NA,1,0
8324551,1,339,115,NA,0,NA,NA,400,0
8324552,1,55,6,NA,3,NA,NA,1,1
8324553,1,123,62,NA,0,NA,NA,1,0
8324554,0,208,209,NA,0,NA,NA,400,0
8324555,0,234,128,3,0,47,1,1,0
8324556,0,173,154,68,1,102,2,400,0
8324557,0,297,157,82,1,109,2,1,0
8324558,1,162,286,NA,1,NA,NA,400,0
8324559,1,340,125,92,0,92,0,400,0
8324560,0,315,216,78,0,78,0,400,0
8324561,0,87,77,NA,0,NA,NA,400,0
8324562,1,243,45,NA,0,NA,NA,1,0
8324563,0,119,119,NA,0,NA,NA,1,0
8324564,0,335,98,59,2,63,1,400,0
8324565,0,112,45,NA,0,NA,NA,400,0
8324566,0,290,160,68,0,68,0,1,0
8324567,0,128,252,45,1,84,0,1,0
8324568,1,314,269,22,4,78,2,400,0
8324569,0,148,88,70,0,70,1,400,0
8324570,0,341,148,148,0,148,0,1,0
8324571,0,139,109,109,0,109,1,1,0
8324572,1,79,80,NA,0,NA,NA,400,0
8324573,0,171,172,73,0,73,0,1,0
8324574,1,27,27,15,0,15,1,1,0
8324575,1,341,131,10,2,63,1,400,0
8324576,0,233,87,86,0,87,0,400,0
8324577,1,224,78,NA,0,NA,NA,400,0
8324578,0,305,169,169,0,169,1,1,0
8324579,1,240,94,39,0,67,0,400,0
8324580,0,309,196,158,0,158,0,1,0
8324581,0,347,356,25,0,39,1,30,0
8324582,1,28,17,NA,0,NA,NA,1,0
8324583,1,52,53,NA,0,NA,NA,400,0
8324584,0,326,326,NA,0,NA,NA,1,0
8324585,1,79,39,NA,0,NA,NA,1,0
8324586,1,230,212,62,0,76,1,400,0
8324587,0,149,NA,NA,2,NA,NA,NA,0
8324588,0,289,195,108,0,148,2,1,0
8324589,0,168,153,146,0,146,1,1,0
8324590,0,339,166,NA,0,NA,NA,1,0
8324591,1,277,144,10,0,65,8,30,0
8324592,1,121,12,NA,1,NA,NA,1,0
8324593,1,209,175,94,2,115,1,1,0
8324594,0,315,221,NA,0,NA,NA,1,0
8324595,0,71,NA,NA,NA,NA,NA,NA,0
8324596,1,154,140,21,0,21,0,400,0
8324597,0,116,114,28,0,53,1,1,0
8324598,0,324,147,NA,2,NA,NA,1,0
8324599,0,16,NA,NA,0,NA,NA,NA,1
8324600,0,301,171,171,0,171,0,90,0
8324601,0,169,97,24,0,51,1,1,0
8324602,0,350,NA,NA,NA,NA,NA,NA,0
8324603,1,12,1,NA,0,NA,NA,1,0
8324604,0,353,252,NA,0,NA,NA,1,0
8324605,0,315,140,56,0,56,0,400,0
8324606,0,362,92,NA,0,NA,NA,1,0
8324607,0,246,185,99,0,99,0,400,0
8324608,0,172,NA,NA,0,NA,NA,NA,0
8324609,0,94,97,17,1,49,3,400,0
8324610,1,244,101,101,2,101,0,400,0
8324611,0,77,NA,NA,0,NA,NA,NA,1
8324612,0,201,176,64,0,106,3,1,0
8324613,0,196,161,50,0,98,3,1,0
8324614,0,249,141,119,0,134,2,400,0
8324615,1,298,35,22,0,22,0,400,0
8324616,0,18,19,NA,0,NA,NA,30,0
8324617,0,73,46,17,0,17,0,400,0
8324618,0,192,176,24,0,43,0,1,0
8324619,0,52,NA,NA,0,NA,NA,NA,1
8324620,1,221,144,107,1,126,1,400,0
8324621,0,289,312,12,0,35,0,400,0
8324622,0,316,277,9,0,97,4,1,0
8324623,0,167,117,NA,0,NA,NA,400,0
8324624,0,318,129,110,1,120,1,1,0
8324625,0,184,224,22,0,53,1,400,0
8324626,0,149,141,104,0,104,1,400,0
8324627,0,109,99,NA,1,NA,NA,400,0
8324628,1,22,24,NA,0,NA,NA,1,0
8324629,0,270,153,39,0,96,1,1,0
8324630,1,52,NA,NA,1,NA,NA,NA,0
8324631,0,171,74,NA,0,NA,NA,1,0
8324632,1,152,55,NA,0,NA,NA,1,0
8324633,0,156,141,NA,0,NA,NA,1,0
8324634,0,137,110,85,0,85,0,1,0
8324635,1,375,86,NA,0,NA,NA,400,0
8324636,1,NA,47,NA,0,NA,NA,1,0
8324637,0,246,127,10,4,27,3,120,0
8324638,1,187,153,73,1,94,2,400,1
8324639,1,177,239,17,0,17,1,400,1
8324640,0,248,138,86,0,86,0,1,0
8324641,0,282,168,NA,0,NA,NA,400,0
8324642,0,240,221,85,0,85,0,400,0
8324643,0,88,28,NA,0,NA,NA,1,0
8324644,1,71,62,NA,0,NA,NA,30,0
8324645,0,318,38,NA,1,NA,NA,1,0
8324646,0,350,139,35,0,95,2,400,0
8324647,0,112,47,24,0,39,2,90,0
8324648,1,40,230,NA,0,NA,NA,1,0
8324649,0,338,181,82,0,98,1,1,0
8324650,0,302,312,NA,4,NA,NA,400,0
8324651,0,70,48,NA,0,NA,NA,400,0
8324652,0,332,299,89,0,129,2,400,0
8324653,0,310,84,76,0,76,0,1,0
8324654,0,228,207,83,2,83,0,1,0
8324655,1,318,318,87,0,87,0,1,0
8324656,0,8,6,NA,1,NA,NA,1,0
8324657,0,210,142,67,0,94,1,400,0
8324658,0,227,153,11,0,44,9,120,0
8324659,0,290,84,13,0,40,2,1,0
8324660,1,323,298,NA,0,NA,NA,400,0
8324661,1,305,80,NA,3,NA,NA,400,1
8324662,0,367,160,160,0,160,1,1,0
8324663,0,323,322,30,2,34,0,60,0
8324664,0,272,81,NA,0,NA,NA,1,0
8324665,0,290,129,129,0,129,0,1,0
8324666,1,64,NA,NA,NA,NA,NA,NA,0
8324667,1,380,88,NA,0,NA,NA,1,0
8324668,1,157,NA,NA,1,NA,NA,NA,0
8324669,0,22,22,NA,0,NA,NA,1,0
8324670,0,297,299,NA,0,NA,NA,400,0
8324671,1,333,138,NA,0,NA,NA,1,0
8324672,1,29,29,NA,0,NA,NA,60,0
8324673,0,227,209,65,0,88,2,1,0
8324674,0,139,59,22,1,41,0,400,0
8324675,0,333,91,83,0,87,1,1,0
8324676,0,94,87,NA,0,NA,NA,1,0
8324677,0,309,129,3,0,59,2,1,0
8324678,0,242,99,22,0,61,2,30,0
8324679,0,316,309,99,0,99,0,1,0
8324680,0,16,NA,NA,0,NA,NA,NA,0
8324681,1,285,195,4,0,74,2,1,0
8324682,0,120,83,NA,0,NA,NA,400,0
8324683,0,381,280,83,1,117,4,400,0
8324684,1,377,132,63,0,63,0,120,0
8324685,0,343,182,182,0,182,1,1,0
8324686,0,9,NA,NA,0,NA,NA,NA,1
8324687,1,274,155,27,0,97,1,1,0
8324688,1,319,84,NA,0,NA,NA,400,0
8324689,0,353,120,83,0,102,1,1,0
8324690,0,338,135,34,0,34,1,400,0
8324691,1,138,76,75,0,75,0,400,0
8324692,0,245,206,18,0,18,0,400,0
8324693,1,245,229,75,1,75,0,1,0
8324694,0,256,543,33,0,88,1,400,0
8324695,1,248,NA,NA,0,NA,NA,NA,0
8324696,0,114,87,22,1,53,1,1,0
8324697,1,34,2,NA,1,NA,NA,1,0
8324698,0,250,97,NA,0,NA,NA,1,0
8324699,0,75,77,18,0,27,0,400,0
8324700,0,351,430,34,0,76,3,400,0
8324701,0,290,58,NA,0,NA,NA,60,0
8324702,0,189,200,22,1,43,2,400,0
8324703,1,NA,NA,NA,0,NA,NA,NA,NA
8324704,0,24,NA,NA,0,NA,NA,NA,0
8324705,1,107,10,NA,0,NA,NA,60,0
8324706,0,378,369,74,0,117,1,1,0
8324707,0,136,125,122,0,122,0,1,0
8324708,1,58,59,NA,0,NA,NA,400,0
8324709,0,303,76,NA,0,NA,NA,1,0
8324710,0,354,207,NA,0,NA,NA,400,0
8324711,1,203,202,7,0,56,3,400,0
8324712,0,164,43,NA,0,NA,NA,1,0
8324713,1,230,130,50,0,99,1,1,0
8324714,1,173,155,154,0,154,1,400,0
8324715,0,129,89,NA,0,NA,NA,1,0
8324716,0,357,136,NA,0,NA,NA,400,0
8324717,0,292,98,NA,0,NA,NA,1,0
8324718,0,229,185,24,0,80,1,30,0
